Name,Related Parties,Tailings,Count Active Expected
Sullivan Mine,2,8,5
Basin Coal Project,9,5,5
Craigmont Mine,12,5,5
Fording River Operation,20,4,5
Huckleberry Mine,9,3,5
New Afton,17,3,5
Silvana Mine,2,3,5
Table Mountain,12,3,5
Yellowjacket Gold Project,12,3,5
Beaverdell,2,2,5
BOSS MOUNTAIN,3,2,5
Eskay Creek Mine,11,2,5
Giant Nickel Mine (Glory Hole),3,2,5
Granisle,2,2,5
MYRA FALLS - HW,7,2,5
Quintette Mine - Babcock 2012,11,2,5
Shasta (and Baker-Chappelle),11,2,5
Taurus Gold Mine,5,2,5
Bell Mine,5,1,5
Blackdome Mine,8,1,5
Bonanza Ledge Mine,3,1,5
Bralorne Mine,25,1,5
Brenda Mine,5,1,5
Brucejack,16,1,5
Bull River,4,1,5
Bullmoose Mine,2,1,5
Copper Mountain (Similco),2,1,5
Dankoe Mine,3,1,5
Elkview Coal Operations,14,1,5
Equity Mine,2,1,5
Gibraltar Mines,12,1,5
Golden Bear Mine,2,1,5
Greenhills Operations,16,1,5
HB MINE,3,1,5
Highland Valley Copper,14,1,5
Johnny Mountain,2,1,5
Kemess Mine,32,1,5
Max Molybdenum Mine,7,1,5
May Mac- Roberts Creek Tailings,7,1,5
Mount Milligan,19,1,5
Mount Polley Mine,18,1,5
New Carolin Mine,4,1,5
NICKEL PLATE,3,1,5
Pinchi Lake Mine,2,1,5
Premier Gold Project,5,1,5
QR,11,1,5
Quinsam Coal Mine,5,1,5
Red Chris,18,1,5
SAMATOSUM,3,1,5
Snip Mine,4,1,5
Wolverine Mine,19,1,5
Zip Mill,10,1,5
Afton- Abacus,3,,
AINSWORTH MILL,1,,
ALWIN PROPERTY,2,,
Arctos Anthracite,4,,
Ashlu Mine,1,,
Baker Mine,3,,
Barriere Feldspar,4,,
Bluebell,2,,
BRITANNIA MINE,5,,
Brule,12,,
Buse Lake Quarry,3,,
CANDORADO,1,,
Cassiar Mine,1,,
CIL,2,,
Cirque Property,4,,
Coal Mountain Operations,9,,
Dome Mountain,7,,
ELK,16,,
Elk Valley property,1,,
Endako,6,,
FOUR-J MINE,2,,
Frenier Perlite,2,,
Galore Creek,7,,
Giant Mascot,1,,
Goldstream Mine/Mill,3,,
Granduc,8,,
HAT CREEK,1,,
Horse Creek Silica Mine,2,,
ISLAND COPPER MINE,2,,
Kitsault,7,,
Lawyers Mine,1,,
Lexington-Grenoble Mine,15,,
Line Creek Operations,6,,
Lumby Project,5,,
Lussier River,3,,
McGillivray Mine,1,,
MOTHERLODE/GREYHOUND,1,,
Mount Copeland,1,,
Mt. Brussilof Magnesite Mine,3,,
Mt. Spieker,16,,
Murray River,19,,
Parson Barite Mine,6,,
RED MOUNTAIN JOINT,1,,
Ruby Creek Project (Adanac),16,,
Sage Creek Coal,1,,
Sidar/Crawford Bay,2,,
Silence Lake,1,,
Silvertip,11,,
SIRDAR Granite and Plant,4,,
SOUTH FORK SILICA,2,,
Sukunka Coal,1,,
Summit Lake (Scottie Gold),7,,
Swamp Point Aggregate Mine,6,,
Tent Mountain,1,,
Treasure Mountain,10,,
Trend Mine & Roman Mtn Project roman northwest,21,,
Tulsequah Chief,3,,
UNION Mine,1,,
Upper Elk Valley,1,,
Venus Mill,4,,
Willow Creek Mine,13,,
Windermere Mining Operation,4,,
WOLF MOUNTAIN COAL,1,,
Yellow Giant Gold Project,7,,
